id;name;longitude;latitude;type;subtype
167;Arquitectura;-57,9431423;-34,9049408;Estacion Ferrocarril;Roca
168;Diagonal 73;-57,9190436;-34,920327;Estacion Ferrocarril;Roca
169;Informática;-57,9357323;-34,9033642;Estacion Ferrocarril;Roca
170;Medicina;-57,9278447;-34,9090514;Estacion Ferrocarril;Roca
171;Periodismo;-57,9242646;-34,9122051;Estacion Ferrocarril;Roca
172;Policlínico;-57,9213044;-34,9253053;Estacion Ferrocarril;Roca
173;Bancalari;-58,6029298;-34,4796651;Estacion Ferrocarril;Mitre
174;Benavídez;-58,6847612;-34,4091705;Estacion Ferrocarril;Mitre
175;Campana;-58,9610031;-34,1565823;Estacion Ferrocarril;Mitre
176;Escobar;-58,7953571;-34,3494239;Estacion Ferrocarril;Mitre
177;Kilometro 83;-58,977169;-34,1602209;Estacion Ferrocarril;Mitre
178;Maschwitz;-58,7362697;-34,3830219;Estacion Ferrocarril;Mitre
179;Otamendi;-58,8965515;-34,2222066;Estacion Ferrocarril;Mitre
180;Pacheco;-58,6201168;-34,4558335;Estacion Ferrocarril;Mitre
181;Rio Lujan;-58,8903315;-34,2778567;Estacion Ferrocarril;Mitre
182;Zárate;-59,0378286;-34,0979051;Estacion Ferrocarril;Mitre
183;Banfield;-58,3954246;-34,7436106;Estacion Ferrocarril;Roca
184;Claypole;-58,3382367;-34,80118;Estacion Ferrocarril;Roca
185;Dante Ardigó;-58,3048296;-34,808388;Estacion Ferrocarril;Roca
186;Florencio Varela;-58,2742679;-34,8111227;Estacion Ferrocarril;Roca
187;José Mármol;-58,380941;-34,791958;Estacion Ferrocarril;Roca
188;Lanús;-58,390637;-34,7074543;Estacion Ferrocarril;Roca
189;Lomas de Zamora;-58,3973127;-34,7610318;Estacion Ferrocarril;Roca
190;Rafael Calzada;-58,3591724;-34,7966735;Estacion Ferrocarril;Roca
191;Temperley;-58,3963571;-34,7759243;Estacion Ferrocarril;Roca
192;Zeballos;-58,2594167;-34,8106377;Estacion Ferrocarril;Roca
193;Gerli;-58,3826371;-34,6857287;Estacion Ferrocarril;Roca
194;Hipólito Yrigoyen;-58,3788878;-34,6536422;Estacion Ferrocarril;Roca
195;Remedios de Escalada;-58,393661;-34,7270922;Estacion Ferrocarril;Roca
196;Bella Vista;-58,6845919;-34,5638352;Estacion Ferrocarril;San Martin
197;Devoto;-58,5124313;-34,6026515;Estacion Ferrocarril;San Martin
198;El Palomar;-58,5956555;-34,604926;Estacion Ferrocarril;San Martin
199;Hurlingham;-58,6322349;-34,5911517;Estacion Ferrocarril;San Martin
200;Muñiz;-58,7033147;-34,5513662;Estacion Ferrocarril;San Martin
201;San Miguel;-58,7150571;-34,5431069;Estacion Ferrocarril;San Martin
202;Santos Lugares;-58,5407521;-34,6036745;Estacion Ferrocarril;San Martin
203;Sol y Verde;-58,7976033;-34,5039897;Estacion Ferrocarril;San Martin
204;Villa Astolfi;-58,8768343;-34,4786824;Estacion Ferrocarril;San Martin
205;William Morris;-58,6565796;-34,5784645;Estacion Ferrocarril;San Martin
206;Cabred;-59,075658;-34,4878244;Estacion Ferrocarril;San Martin
207;Manzanares;-59,0067549;-34,4522459;Estacion Ferrocarril;San Martin
208;Caseros;-58,5644918;-34,6045861;Estacion Ferrocarril;San Martin
209;Sáenz Peña;-58,5274629;-34,6031533;Estacion Ferrocarril;San Martin
210;Villa del Parque;-58,4935315;-34,6013699;Estacion Ferrocarril;San Martin
211;Derqui;-58,8384456;-34,4909537;Estacion Ferrocarril;San Martin
212;José C. Paz;-58,7494301;-34,5193436;Estacion Ferrocarril;San Martin
213;Pilar;-58,9079062;-34,4687433;Estacion Ferrocarril;San Martin
214;Palermo;-58,4274154;-34,5796614;Estacion Ferrocarril;San Martin
215;Retiro LSM;-58,3756885;-34,5881302;Estacion Ferrocarril;San Martin
216;Berazategui;-58,2084433;-34,7640977;Estacion Ferrocarril;Roca
217;Bernal;-58,280569;-34,7092611;Estacion Ferrocarril;Roca
218;City Bell;-58,0420495;-34,8657239;Estacion Ferrocarril;Roca
219;Constitución;-58,3805834;-34,6301709;Estacion Ferrocarril;Roca
220;Don Bosco;-58,2961718;-34,7033242;Estacion Ferrocarril;Roca
221;Ezpeleta;-58,2341863;-34,7518509;Estacion Ferrocarril;Roca
222;Gonnet;-58,0107856;-34,879841;Estacion Ferrocarril;Roca
223;Hudson;-58,1552692;-34,7911192;Estacion Ferrocarril;Roca
224;La Plata;-57,950174;-34,9038945;Estacion Ferrocarril;Roca
225;Pereyra;-58,0945403;-34,8366304;Estacion Ferrocarril;Roca
226;Plátanos;-58,1707596;-34,7823359;Estacion Ferrocarril;Roca
227;Quilmes;-58,2606591;-34,7246461;Estacion Ferrocarril;Roca
228;Ringuelet;-57,9960622;-34,8813876;Estacion Ferrocarril;Roca
229;S. y Kosteki;-58,3768325;-34,6613896;Estacion Ferrocarril;Roca
230;Sarandí;-58,3449626;-34,6787475;Estacion Ferrocarril;Roca
231;Tolosa;-57,9680983;-34,8909547;Estacion Ferrocarril;Roca
232;Villa Domínico;-58,3253499;-34,6915355;Estacion Ferrocarril;Roca
233;Villa Elisa;-58,0751851;-34,8495861;Estacion Ferrocarril;Roca
234;Wilde;-58,3111938;-34,6975894;Estacion Ferrocarril;Roca
235;Borges;-58,4845536;-34,5081513;Estacion Ferrocarril;Mitre
236;Canal San Fernando;-58,5629211;-34,4299116;Estacion Ferrocarril;Mitre
237;Delta;-58,5761953;-34,419003;Estacion Ferrocarril;Mitre
238;Juan Anchorena;-58,4812172;-34,4891115;Estacion Ferrocarril;Mitre
239;Las Barrancas;-58,4934212;-34,4722137;Estacion Ferrocarril;Mitre
240;Libertador;-58,4821262;-34,5027276;Estacion Ferrocarril;Mitre
241;Maipú;-58,487579;-34,5130886;Estacion Ferrocarril;Mitre
242;Marina Nueva;-58,5390515;-34,4445522;Estacion Ferrocarril;Mitre
243;Punta Chica;-58,5236988;-34,4506585;Estacion Ferrocarril;Mitre
244;San Fernando R;-58,553991;-34,4375367;Estacion Ferrocarril;Mitre
245;San Isidro R;-58,5081309;-34,4654466;Estacion Ferrocarril;Mitre
246;Bosques;-58,2300795;-34,8195986;Estacion Ferrocarril;Roca
247;Ranelagh;-58,2031929;-34,7893721;Estacion Ferrocarril;Roca
248;Sourigues;-58,2127388;-34,8065811;Estacion Ferrocarril;Roca
249;Villa España;-58,1949303;-34,7744501;Estacion Ferrocarril;Roca
250;Caballito;-58,4436522;-34,6192442;Estacion Ferrocarril;Sarmiento
251;Ciudadela;-58,5411225;-34,6399227;Estacion Ferrocarril;Sarmiento
252;Flores;-58,4661766;-34,6278504;Estacion Ferrocarril;Sarmiento
253;Floresta;-58,4808913;-34,6323755;Estacion Ferrocarril;Sarmiento
254;Haedo;-58,5918534;-34,6445334;Estacion Ferrocarril;Sarmiento
255;Liniers;-58,5263409;-34,6388728;Estacion Ferrocarril;Sarmiento
256;Morón;-58,6198135;-34,6482227;Estacion Ferrocarril;Sarmiento
257;Once;-58,4088675;-34,6086496;Estacion Ferrocarril;Sarmiento
258;Ramos Mejía;-58,5643758;-34,6404544;Estacion Ferrocarril;Sarmiento
259;Villa Luro;-58,5021311;-34,6362494;Estacion Ferrocarril;Sarmiento
260;Castelar;-58,6425261;-34,6521562;Estacion Ferrocarril;Sarmiento
261;Ituzaingó;-58,6663871;-34,6596506;Estacion Ferrocarril;Sarmiento
262;Merlo;-58,727685;-34,6644693;Estacion Ferrocarril;Sarmiento
263;Moreno;-58,7895979;-34,6504439;Estacion Ferrocarril;Sarmiento
264;Paso del Rey;-58,7619414;-34,6582665;Estacion Ferrocarril;Sarmiento
265;S. A. de Padua;-58,6979972;-34,6654259;Estacion Ferrocarril;Sarmiento
266;Chilavert;-58,566917;-34,542232;Estacion Ferrocarril;Mitre
267;General Urquiza;-58,4878391;-34,574712;Estacion Ferrocarril;Mitre
268;J. L. Suárez;-58,5759809;-34,5347067;Estacion Ferrocarril;Mitre
269;L. M. Drago;-58,4789912;-34,5684173;Estacion Ferrocarril;Mitre
270;Malaver;-58,5479328;-34,5573725;Estacion Ferrocarril;Mitre
271;Miguelete;-58,5170793;-34,5810718;Estacion Ferrocarril;Mitre
272;Pueyrredón;-58,501898;-34,5804962;Estacion Ferrocarril;Mitre
273;San Andrés;-58,5406609;-34,5635642;Estacion Ferrocarril;Mitre
274;San Martín;-58,5319579;-34,5734195;Estacion Ferrocarril;Mitre
275;Villa Ballester;-58,5570784;-34,5501584;Estacion Ferrocarril;Mitre
276;Dr. A. Schweitzer;-58,5744514;-34,4720989;Estacion Ferrocarril;Mitre
277;El Talar;-58,6460044;-34,4627922;Estacion Ferrocarril;Mitre
278;Garín;-58,7365407;-34,421623;Estacion Ferrocarril;Mitre
279;López Camelo;-58,6773897;-34,4468958;Estacion Ferrocarril;Mitre
280;Maq. Savio;-58,7723202;-34,4067502;Estacion Ferrocarril;Mitre
281;Matheu;-58,8296505;-34,3828607;Estacion Ferrocarril;Mitre
282;El Jagüel;-58,4961652;-34,8332274;Estacion Ferrocarril;Roca
283;Ezeiza;-58,5228154;-34,8540842;Estacion Ferrocarril;Roca
284;Llavallol;-58,4291553;-34,7970708;Estacion Ferrocarril;Roca
285;Luis Guillón;-58,4485504;-34,8032178;Estacion Ferrocarril;Roca
286;Monte Grande;-58,4696989;-34,8144339;Estacion Ferrocarril;Roca
287;Turdera;-58,4078781;-34,7950533;Estacion Ferrocarril;Roca
288;Empalme Lobos;-59,0907406;-35,1514876;Estacion Ferrocarril;Sarmiento
289;Lobos;-59,0927924;-35,1853363;Estacion Ferrocarril;Sarmiento
290;Speratti;-58,9998545;-35,0021051;Estacion Ferrocarril;Sarmiento
291;Zapiola;-59,0418857;-35,0583029;Estacion Ferrocarril;Sarmiento
292;Ferrari;-58,7794327;-34,706078;Estacion Ferrocarril;Sarmiento
293;Hornos;-58,917861;-34,8923029;Estacion Ferrocarril;Sarmiento
294;Las Heras;-58,9444298;-34,9279395;Estacion Ferrocarril;Sarmiento
295;Marcos Paz;-58,836545;-34,7830555;Estacion Ferrocarril;Sarmiento
296;Mariano Acosta;-58,7929542;-34,7243253;Estacion Ferrocarril;Sarmiento
297;Zamudio;-58,8921946;-34,8578991;Estacion Ferrocarril;Sarmiento
298;Km. 34,5;-58,7602409;-34,6801742;Estacion Ferrocarril;Sarmiento
299;F. Álvarez;-58,8553185;-34,6322048;Estacion Ferrocarril;Sarmiento
300;Gowland;-59,352839;-34,6478196;Estacion Ferrocarril;Sarmiento
301;Gral. Rodríguez;-58,952925;-34,6088711;Estacion Ferrocarril;Sarmiento
302;Jáuregui;-59,1734876;-34,6006273;Estacion Ferrocarril;Sarmiento
303;La Fraternidad;-58,997844;-34,5984003;Estacion Ferrocarril;Sarmiento
304;La Reja;-58,8284581;-34,6397171;Estacion Ferrocarril;Sarmiento
305;Las Malvinas;-58,9220842;-34,616072;Estacion Ferrocarril;Sarmiento
306;Lezica y Torrezuri;-59,0567847;-34,5846051;Estacion Ferrocarril;Sarmiento
307;Luján;-59,1050924;-34,5776869;Estacion Ferrocarril;Sarmiento
308;Mercedes;-59,4336661;-34,6574937;Estacion Ferrocarril;Sarmiento
309;Olivera;-59,2553985;-34,6279272;Estacion Ferrocarril;Sarmiento
310;P. Marín;-58,893542;-34,6227343;Estacion Ferrocarril;Sarmiento
311;Univ. Luján;-59,0874075;-34,5774242;Estacion Ferrocarril;Sarmiento
312;González Catán;-58,6465457;-34,7714637;Estacion Ferrocarril;Belgrano Sur
313;Independencia;-58,6173412;-34,7607983;Estacion Ferrocarril;Belgrano Sur
314;Ingeniero Castello;-58,5063521;-34,7105416;Estacion Ferrocarril;Belgrano Sur
315;Laferrere;-58,58425;-34,7506533;Estacion Ferrocarril;Belgrano Sur
316;María Eva Duarte;-58,6020446;-34,7564804;Estacion Ferrocarril;Belgrano Sur
317;Querandí;-58,5307279;-34,7223687;Estacion Ferrocarril;Belgrano Sur
318;Gutiérrez;-58,188026;-34,8332066;Estacion Ferrocarril;Roca
319;Santa Sofía;-58,2132652;-34,8250279;Estacion Ferrocarril;Roca
320;Uribelarrea;-58,8984676;-35,1154841;Estacion Ferrocarril;Roca
321;1524 DEFENSA;-58,3709946;-34,6256588;Parada Colectivo;
322;1528 DEFENSA;-58,3709994;-34,6257106;Parada Colectivo;
323;906 MITRE, BARTOLOME;-58,3796587;-34,6072156;Parada Colectivo;
324;51 REGIMIENTO DE PATRICIOS AV.;-58,3706639;-34,6302258;Parada Colectivo;
325;389 REGIMIENTO DE PATRICIOS AV.;-58,3703604;-34,6334097;Parada Colectivo;
326;435 REGIMIENTO DE PATRICIOS AV.;-58,3702771;-34,6340118;Parada Colectivo;
327;471 REGIMIENTO DE PATRICIOS AV.;-58,3702328;-34,6342993;Parada Colectivo;
328;1464 MITRE, BARTOLOME;-58,38715257;-34,60775698;Parada Colectivo;
329;673 REGIMIENTO DE PATRICIOS AV.;-58,3699335;-34,6361996;Parada Colectivo;
330;1444 MITRE, BARTOLOME;-58,38690677;-34,60774163;Parada Colectivo;
331;717 REGIMIENTO DE PATRICIOS AV.;-58,3698545;-34,6367229;Parada Colectivo;
332;761 REGIMIENTO DE PATRICIOS AV.;-58,3698136;-34,6369873;Parada Colectivo;
333;787 REGIMIENTO DE PATRICIOS AV.;-58,3697851;-34,637171;Parada Colectivo;
334;1608 MITRE, BARTOLOME;-58,3894206;-34,60790029;Parada Colectivo;
335;1682 MITRE, BARTOLOME;-58,39033209;-34,60794204;Parada Colectivo;
336;1581 RIVADAVIA AV.;-58,3887206;-34,6089946;Parada Colectivo;
337;1515 BOLIVAR;-58,3726637;-34,6257245;Parada Colectivo;
338;1635 RIVADAVIA AV.;-58,3895865;-34,6090372;Parada Colectivo;
